"EntrezID" "Symbol" "A_1_L01_FlowCellA" "A_2_L01_FlowCellA" "A_3_L01_FlowCellA" "A_4_L01_FlowCellA" "A_5_L01_FlowCellA" "B_1_L01_FlowCellA" "B_2_L01_FlowCellA" "B_3_L01_FlowCellA" "B_4_L01_FlowCellA" "B_5_L01_FlowCellB"
"9202" "84650" "EBPL" 126 116 151 184 133 33 33 40 31 20
"9204" "1889" "ECE1" 667 472 644 716 555 304 304 310 259 160
"9205" "9718" "ECE2" 64 61 69 76 57 226 213 214 157 133
"9206" "9427" "ECEL1" 13 7 5 6 6 7 6 15 6 0
"9207" "347694" "ECEL1P2" 6 2 2 3 1 0 1 1 2 0
"9208" "55862" "ECHDC1" 66 70 111 106 92 55 60 63 40 36
"9209" "55268" "ECHDC2" 111 80 101 143 133 371 349 354 289 235
"9210" "79746" "ECHDC3" 34 22 33 46 44 16 10 18 8 3
"9211" "1892" "ECHS1" 463 400 474 498 422 431 465 451 340 256
"9212" "1893" "ECM1" 280 212 284 287 231 100 95 88 76 53
"9213" "1842" "ECM2" 6 3 4 5 7 31 34 40 20 20
"9214" "643332" "ECRP" 0 0 0 0 0 0 0 1 1 1
"9217" "1894" "ECT2" 430 346 520 526 549 65 63 71 37 42
"9218" "345930" "ECT2L" 1 1 5 2 1 5 6 6 5 1
"9219" "1896" "EDA" 35 38 36 44 33 16 8 9 5 7
"9220" "60401" "EDA2R" 13 16 37 33 29 10 8 12 7 11
"9221" "10913" "EDAR" 0 1 0 0 0 2 0 1 0 0
"9223" "80153" "EDC3" 250 212 247 285 274 148 133 133 123 91
"9225" "10876" "EDDM3A" 0 0 0 0 0 0 0 0 0 0
"9226" "64184" "EDDM3B" 0 0 0 0 0 0 0 0 0 0
"9227" "9695" "EDEM1" 502 380 542 645 551 130 109 140 104 111
"9228" "80267" "EDEM3" 287 234 297 367 333 276 279 294 246 216
"9229" "8721" "EDF1" 771 578 754 802 700 712 675 727 523 454
"9230" "10085" "EDIL3" 14 16 25 20 23 1294 1323 1582 1125 1237
"9231" "1906" "EDN1" 17 16 26 26 26 43 52 52 55 27
"9232" "1907" "EDN2" 2 2 1 6 8 1 0 0 0 0
"9233" "1908" "EDN3" 0 0 0 0 0 24 22 25 12 14
"9234" "1909" "EDNRA" 17 17 20 25 18 20 28 20 22 18
"9235" "1910" "EDNRB" 181 150 202 210 212 239 213 305 222 166
"9236" "8411" "EEA1" 110 101 139 153 170 129 142 191 122 121
"9237" "8726" "EED" 139 136 168 183 186 82 79 95 69 60
"9238" "1915" "EEF1A1" 14095 12178 15627 17681 16155 3531 3442 3889 2827 2478
"9239" "440595" "EEF1A1P11" 143 100 69 56 78 26 24 14 14 15
"9240" "644604" "EEF1A1P12" 16 24 11 19 14 1 3 9 2 5
"9241" "133283" "EEF1A1P13" 426 333 346 380 370 109 91 73 68 42
"9242" "647167" "EEF1A1P14" 0 0 0 0 0 0 0 0 0 0
"9243" "402420" "EEF1A1P30" 0 0 0 0 0 0 0 0 0 0
"9245" "389223" "EEF1A1P35" 2 2 0 0 0 0 0 0 1 0
"9246" "158078" "EEF1A1P5" 20418 17930 23458 27780 24354 4972 4778 5682 4166 3391
"9247" "221838" "EEF1A1P6" 2023 1805 2541 2816 2554 465 473 552 445 342
"9248" "441032" "EEF1A1P9" 51 42 54 60 56 11 16 15 14 3
"9249" "1917" "EEF1A2" 748 552 676 744 550 4344 3902 3900 3008 2219
"9255" "126037" "EEF1DP1" 208 134 184 203 211 59 54 65 51 36
"9256" "442429" "EEF1DP2" 2 8 3 6 11 36 35 45 28 29
"9257" "196549" "EEF1DP3" 3 0 3 1 1 4 5 3 6 4
"9258" "442325" "EEF1DP4" 1 2 1 2 2 14 15 21 17 9
"9260" "1938" "EEF2" 13721 10856 13107 14547 11693 7102 6584 6733 4987 3859
"9261" "29904" "EEF2K" 282 230 342 338 310 378 318 367 267 205
"9262" "60678" "EEFSEC" 136 103 132 130 118 77 72 84 67 47
"9263" "80820" "EEPD1" 56 33 57 53 62 114 91 95 82 54
"9264" "79645" "EFCAB1" 0 0 0 0 0 15 15 14 10 11
"9265" "100130771" "EFCAB10" 2 0 2 3 2 0 2 4 4 0
"9266" "84288" "EFCAB2" 47 32 30 60 41 62 56 58 55 47
"9268" "283229" "EFCAB4A" 67 57 70 77 59 29 20 20 17 15
"9269" "84766" "EFCAB4B" 49 57 50 67 53 13 11 8 7 5
"9270" "374786" "EFCAB5" 1 3 3 5 6 10 10 7 7 7
"9271" "64800" "EFCAB6" 2 3 3 4 1 16 12 13 14 7
"9272" "84455" "EFCAB7" 33 31 46 49 42 82 84 88 72 59
"9273" "388795" "EFCAB8" 1 1 0 0 1 0 0 0 0 0
"9274" "285588" "EFCAB9" 0 0 2 0 0 0 0 1 2 0
"9275" "2202" "EFEMP1" 46 47 48 55 59 247 253 284 189 175
"9276" "30008" "EFEMP2" 230 206 234 272 221 134 116 128 81 59
"9277" "221154" "EFHA1" 149 132 190 217 224 180 193 236 158 150
"9278" "286097" "EFHA2" 16 16 16 26 31 471 397 579 395 427
"9279" "151651" "EFHB" 4 2 3 5 2 8 7 8 5 11
"9280" "80258" "EFHC2" 3 4 5 6 2 15 8 11 8 9
"9281" "80303" "EFHD1" 76 59 67 93 73 842 810 876 687 419
"9282" "79180" "EFHD2" 576 425 491 609 428 749 701 765 525 360
"9283" "1942" "EFNA1" 223 170 246 256 219 126 128 152 110 87
"9284" "1943" "EFNA2" 25 16 20 16 9 4 6 0 2 3
"9286" "1946" "EFNA5" 74 77 93 101 96 130 114 111 75 79
"9287" "1947" "EFNB1" 231 169 188 249 169 35 47 45 33 22
"9288" "1948" "EFNB2" 44 37 44 55 42 110 102 116 99 88
"9289" "1949" "EFNB3" 63 58 53 74 71 221 216 212 161 116
"9290" "23167" "EFR3A" 222 188 225 244 279 962 952 1127 885 782
"9291" "22979" "EFR3B" 93 80 101 112 79 650 644 731 555 389
"9292" "10278" "EFS" 103 84 111 126 79 252 249 256 176 96
"9293" "79631" "EFTUD1" 143 126 149 155 171 34 45 44 36 25
"9294" "9343" "EFTUD2" 818 683 845 942 829 297 280 320 266 176
"9295" "1950" "EGF" 23 15 27 36 28 11 5 6 5 10
"9296" "25975" "EGFL6" 0 1 0 2 0 2 1 0 1 1
"9297" "51162" "EGFL7" 496 334 388 508 319 261 271 274 175 121
"9298" "133584" "EGFLAM" 0 1 2 0 3 4 10 6 5 6
"9299" "1956" "EGFR" 282 278 288 384 293 165 159 222 156 122
"9300" "54583" "EGLN1" 678 529 661 746 639 487 423 500 394 321
"9301" "112399" "EGLN3" 248 188 301 277 241 123 129 156 110 80
"9302" "100126791" "EGOT" 0 0 0 0 0 1 0 0 0 0
"9303" "1958" "EGR1" 1261 995 1194 1488 1073 324 314 326 256 150
"9304" "1959" "EGR2" 4 2 9 5 3 13 13 7 11 4
"9305" "1960" "EGR3" 35 24 45 46 44 165 184 185 159 124
"9306" "1961" "EGR4" 0 1 0 0 0 17 18 10 3 4
"9307" "23301" "EHBP1" 173 195 221 253 202 279 300 341 297 233
"9308" "254102" "EHBP1L1" 578 437 478 579 422 190 154 165 114 82
"9309" "10938" "EHD1" 320 250 293 357 288 561 519 530 406 285
"9310" "30846" "EHD2" 315 260 272 375 262 113 114 100 74 53
"9311" "30845" "EHD3" 43 54 64 46 52 836 844 843 657 485
"9312" "30844" "EHD4" 109 87 97 109 72 32 27 35 28 17
"9313" "26298" "EHF" 0 0 2 0 1 10 3 7 6 4
"9314" "1962" "EHHADH" 50 50 51 58 62 21 20 23 18 14
"9315" "79813" "EHMT1" 430 329 362 420 371 260 237 243 208 162
"9316" "10919" "EHMT2" 504 405 452 587 421 491 466 484 347 273
"9317" "9538" "EI24" 656 588 664 819 627 334 282 327 267 214
"9318" "23741" "EID1" 574 447 605 604 648 1284 1248 1408 1016 898
"9319" "163126" "EID2" 70 51 68 88 59 166 147 150 120 95
"9320" "126272" "EID2B" 15 12 16 22 16 52 78 58 58 26
"9321" "493861" "EID3" 5 6 4 9 4 8 9 8 11 11
"9322" "10209" "EIF1" 1796 1532 1922 2147 1861 2220 2217 2491 1856 1554
"9323" "84285" "EIF1AD" 136 108 154 175 169 63 81 89 69 46
"9324" "1964" "EIF1AX" 354 269 423 465 448 590 478 631 487 476
"9325" "280661" "EIF1AXP1" 210 161 258 298 286 157 143 167 148 122
"9326" "9086" "EIF1AY" 42 46 51 46 51 44 30 45 36 26
"9327" "10289" "EIF1B" 91 77 97 104 123 211 229 254 184 132
"9328" "83939" "EIF2A" 451 376 534 666 564 337 314 337 302 259
"9329" "27102" "EIF2AK1" 511 447 552 679 561 271 273 280 169 189
"9330" "5610" "EIF2AK2" 218 202 252 281 272 267 236 269 199 194
"9331" "9451" "EIF2AK3" 104 100 111 107 115 70 84 88 67 57
"9332" "440275" "EIF2AK4" 242 226 310 321 302 184 183 156 139 121
"9333" "1967" "EIF2B1" 171 119 160 210 164 95 134 138 89 100
"9334" "8892" "EIF2B2" 152 134 172 192 160 113 127 130 107 82
"9335" "8891" "EIF2B3" 157 145 181 207 173 96 114 121 95 69
"9336" "8890" "EIF2B4" 240 209 214 239 238 161 162 157 122 101
"9337" "8893" "EIF2B5" 293 243 339 362 314 282 287 381 241 213
"9342" "1965" "EIF2S1" 422 348 449 512 503 181 165 188 152 128
"9343" "8894" "EIF2S2" 327 298 331 419 352 125 111 122 75 86
"9344" "347673" "EIF2S2P2" 0 0 0 0 0 0 0 0 0 0
"9345" "728350" "EIF2S2P4" 456 384 538 591 541 142 127 164 126 108
"9346" "347675" "EIF2S2P5" 0 0 0 0 0 0 0 0 0 0
"9347" "100129629" "EIF2S2P6" 0 0 0 0 0 0 0 1 0 0
"9348" "1968" "EIF2S3" 1112 968 1311 1505 1471 361 321 366 308 247
"9350" "8662" "EIF3B" 1705 1509 1752 2064 1674 434 402 479 348 279
"9351" "8663" "EIF3C" 651 543 647 738 622 297 287 303 228 172
"9352" "728689" "EIF3CL" 1477 1152 1433 1629 1324 677 592 619 469 389
"9353" "8664" "EIF3D" 1056 852 1103 1179 1066 315 340 351 280 206
"9354" "3646" "EIF3E" 1078 997 1248 1351 1292 349 385 388 328 288
"9355" "8665" "EIF3F" 455 380 415 533 386 195 181 175 146 139
"9356" "54053" "EIF3FP1" 17 15 26 28 17 8 17 8 15 4
"9357" "83880" "EIF3FP2" 0 0 0 0 0 0 0 0 0 0
"9358" "339799" "EIF3FP3" 527 428 528 582 504 168 176 187 152 107
"9359" "8666" "EIF3G" 895 597 776 883 732 345 349 314 229 190
"9360" "8667" "EIF3H" 1082 921 1192 1362 1201 450 450 515 425 318
"9361" "8668" "EIF3I" 983 877 993 1143 950 343 332 360 291 233
"9362" "442720" "EIF3IP1" 24 21 40 36 41 10 6 10 10 7
"9363" "8669" "EIF3J" 345 316 362 443 478 213 219 282 178 200
"9364" "27335" "EIF3K" 632 516 590 664 567 460 424 464 390 294
"9365" "51386" "EIF3L" 1377 1232 1463 1756 1507 890 869 1014 769 621
"9366" "319117" "EIF3LP1" 44 44 49 74 89 34 30 30 24 16
"9367" "143341" "EIF3LP2" 41 31 36 28 41 21 21 30 17 16
"9368" "10480" "EIF3M" 695 606 774 838 798 288 294 347 283 221
"9369" "1973" "EIF4A1" 1019 908 1168 1328 1169 176 159 211 141 135
"9370" "100130006" "EIF4A1P11" 1 0 0 0 0 0 0 0 0 0
"9371" "359792" "EIF4A1P2" 250 218 255 338 286 47 40 54 22 34
"9372" "728698" "EIF4A1P4" 89 74 75 102 81 18 9 16 13 8
"9373" "390394" "EIF4A1P5" 1 0 0 2 0 1 0 0 0 0
"9374" "341784" "EIF4A1P7" 39 34 66 62 43 6 3 8 7 2
"9375" "100289102" "EIF4A1P8" 0 4 5 4 6 1 2 5 5 4
"9376" "642746" "EIF4A1P9" 3 3 3 3 0 0 0 1 0 0
"9378" "9775" "EIF4A3" 591 517 576 688 590 178 150 154 112 101
"9379" "1975" "EIF4B" 421 350 399 505 412 171 174 182 134 116
"9380" "100128771" "EIF4BP3" 203 173 208 212 187 54 89 84 65 50
"9381" "645579" "EIF4BP6" 599 478 696 690 619 265 256 278 241 182
"9382" "643873" "EIF4BP7" 368 301 452 540 496 152 182 174 134 117
"9383" "339881" "EIF4BP8" 0 0 0 0 0 0 0 0 0 0
"9384" "1977" "EIF4E" 148 124 175 189 190 98 95 120 102 79
"9386" "253314" "EIF4E1B" 0 0 0 1 0 42 36 32 16 16
"9387" "9470" "EIF4E2" 273 232 258 309 299 252 245 278 210 200
"9388" "317649" "EIF4E3" 27 42 27 57 43 297 285 385 278 230
"9389" "1978" "EIF4EBP1" 418 313 374 409 313 24 26 16 12 11
"9390" "1979" "EIF4EBP2" 533 510 624 761 689 562 541 633 413 391
"9391" "56478" "EIF4ENIF1" 143 97 132 148 124 223 246 250 182 144
"9392" "1981" "EIF4G1" 2632 2201 2591 2979 2563 1073 1103 1124 843 669
"9393" "8672" "EIF4G3" 464 386 544 619 546 742 801 834 631 530
"9394" "7458" "EIF4H" 1377 1197 1466 1663 1549 1306 1215 1285 1012 851
"9395" "1984" "EIF5A" 1735 1362 1718 1983 1576 538 472 532 357 333
"9396" "56648" "EIF5A2" 38 34 45 71 63 92 93 124 96 86
"9397" "143244" "EIF5AL1" 736 552 704 853 691 211 216 219 171 126
"9400" "1986" "EIF5AP2" 1 2 0 1 0 0 0 0 0 0
"9401" "9669" "EIF5B" 859 692 968 1045 1024 442 438 489 323 356
"9404" "60528" "ELAC2" 522 395 549 604 485 293 267 324 233 169
"9405" "1991" "ELANE" 3 0 3 2 2 1 0 1 0 0
"9406" "1994" "ELAVL1" 569 495 610 676 604 387 410 421 338 269
"9407" "1993" "ELAVL2" 3 1 3 0 1 315 321 382 280 248
"9408" "1995" "ELAVL3" 6 5 6 4 2 1924 1915 1898 1438 1094
"9409" "1996" "ELAVL4" 0 1 0 1 0 495 451 573 389 380
"9410" "1997" "ELF1" 208 171 242 254 242 53 47 72 61 48
"9411" "1998" "ELF2" 139 132 174 204 207 157 148 199 124 125
"9412" "100101917" "ELF2P1" 2 2 2 3 1 1 3 1 0 0
"9413" "260335" "ELF2P2" 0 1 0 1 0 0 0 0 0 0
"9414" "644935" "ELF2P4" 1 0 0 0 0 0 0 0 0 0
"9415" "1999" "ELF3" 334 261 346 373 274 4 0 1 2 3
"9416" "2000" "ELF4" 185 126 176 208 172 14 11 12 9 6
"9417" "2001" "ELF5" 3 2 1 1 2 0 0 0 0 0
"9418" "392617" "ELFN1" 41 40 49 33 37 32 27 23 19 11
"9419" "114794" "ELFN2" 40 31 42 48 34 284 281 284 227 179
"9420" "2002" "ELK1" 287 201 293 330 237 469 491 477 357 258
"9422" "2004" "ELK3" 203 182 244 309 235 70 73 75 70 43
"9423" "8178" "ELL" 68 57 61 62 69 79 66 76 58 39
"9424" "22936" "ELL2" 348 261 423 437 447 392 384 475 362 288
"9425" "9844" "ELMO1" 42 29 40 49 33 438 462 522 402 299
"9426" "63916" "ELMO2" 144 163 161 201 166 421 438 459 385 284
"9427" "729894" "ELMO2P1" 0 1 0 0 0 1 0 0 0 0
"9428" "79767" "ELMO3" 57 50 55 59 53 23 22 26 9 11
"9429" "55531" "ELMOD1" 3 3 5 3 3 486 431 523 376 327
"9430" "255520" "ELMOD2" 128 98 136 152 162 89 68 89 71 73
"9431" "84173" "ELMOD3" 85 61 74 90 66 134 110 118 104 74
"9432" "2006" "ELN" 48 41 33 45 39 249 226 215 142 135
"9433" "84337" "ELOF1" 235 199 222 257 225 200 171 171 141 107
"9434" "54898" "ELOVL2" 137 101 136 166 164 118 121 133 80 96
"9435" "83401" "ELOVL3" 3 3 1 1 2 0 1 2 0 0
"9436" "6785" "ELOVL4" 32 25 38 42 39 246 265 257 213 188
"9438" "79071" "ELOVL6" 182 146 184 231 206 97 94 110 97 74
"9439" "79993" "ELOVL7" 41 33 65 67 68 140 124 157 122 112
"9441" "55250" "ELP2" 540 410 569 701 584 316 343 365 240 228
"9443" "55140" "ELP3" 180 142 176 197 202 234 192 204 175 134
"9444" "26610" "ELP4" 50 53 57 58 57 48 54 58 37 31
"9445" "64100" "ELSPBP1" 7 0 5 4 7 0 0 0 0 0
"9446" "64123" "ELTD1" 0 0 0 0 2 49 45 55 35 16
"9447" "133418" "EMB" 80 62 102 107 83 14 17 19 23 16
"9448" "647121" "EMBP1" 15 9 13 16 16 7 2 2 2 1
"9449" "51705" "EMCN" 0 1 1 4 0 25 29 25 16 18
"9450" "2010" "EMD" 387 299 387 420 345 247 200 215 186 129
"9451" "146956" "EME1" 111 93 122 136 120 2 0 0 2 2
"9452" "197342" "EME2" 102 77 122 121 96 209 195 194 112 86
"9454" "129080" "EMID1" 26 17 26 37 27 90 69 108 55 45
"9456" "11117" "EMILIN1" 204 172 177 203 163 41 47 40 36 25
"9457" "84034" "EMILIN2" 58 45 52 48 39 33 30 33 19 28
"9458" "90187" "EMILIN3" 14 9 13 26 14 18 19 28 20 17
"9459" "2009" "EML1" 139 102 132 157 170 110 129 128 95 99
"9460" "24139" "EML2" 235 186 232 241 212 437 414 414 309 254
"9461" "256364" "EML3" 367 306 323 384 322 211 190 181 132 111
"9462" "27436" "EML4" 323 278 342 447 406 40 39 31 40 36
"9463" "161436" "EML5" 10 10 16 17 9 100 114 132 97 74
"9464" "400954" "EML6" 45 28 44 57 44 135 122 133 102 74
"9465" "2012" "EMP1" 239 207 261 279 280 133 127 140 112 100
"9466" "2013" "EMP2" 234 242 295 357 311 47 48 43 38 35
"9467" "2014" "EMP3" 395 360 451 478 423 45 32 45 30 29
"9468" "2015" "EMR1" 16 12 20 24 26 1 1 1 5 0
"9469" "30817" "EMR2" 54 48 59 60 48 7 10 16 10 9
"9470" "84658" "EMR3" 2 0 2 1 0 0 0 0 1 0
"9471" "326342" "EMR4P" 2 0 0 2 4 0 0 1 2 2
"9472" "2016" "EMX1" 3 3 2 4 0 119 136 149 91 72
"9473" "2018" "EMX2" 1 0 0 0 0 58 60 70 47 47
"9474" "196047" "EMX2OS" 0 0 1 1 0 157 160 189 153 105
"9475" "2019" "EN1" 4 5 2 5 4 1 0 2 0 0
"9476" "2020" "EN2" 25 16 22 17 21 223 185 180 178 122
"9477" "55740" "ENAH" 572 488 562 759 671 351 354 383 321 258
"9478" "10117" "ENAM" 3 3 5 6 3 0 0 0 0 0
"9479" "8507" "ENC1" 277 226 283 350 287 2911 2948 3242 2448 1996
"9480" "23052" "ENDOD1" 162 142 181 159 179 630 648 725 574 471
"9481" "2021" "ENDOG" 66 57 50 70 28 70 73 55 48 23
"9482" "8909" "ENDOU" 2 0 1 2 1 14 7 11 7 7
"9483" "2022" "ENG" 385 322 415 458 336 156 170 179 118 104
"9484" "64772" "ENGASE" 234 213 247 248 228 195 157 162 148 86
"9485" "375704" "ENHO" 6 9 4 7 8 392 348 373 240 173
"9486" "219670" "ENKUR" 8 4 5 3 4 18 13 14 25 21
"9487" "2023" "ENO1" 14234 11557 13813 15416 12772 2753 2584 2672 2001 1556
"9488" "2027" "ENO3" 193 138 179 219 154 47 40 41 26 24
"9489" "387712" "ENO4" 1 2 7 7 6 7 10 12 11 10
"9490" "58478" "ENOPH1" 265 195 300 289 246 408 380 431 344 283
"9491" "55556" "ENOSF1" 213 184 216 241 205 92 96 122 73 52
"9492" "55068" "ENOX1" 18 15 24 19 20 93 68 83 45 45
"9493" "10495" "ENOX2" 54 52 63 61 75 68 65 57 50 40
"9494" "2028" "ENPEP" 2 3 8 4 2 11 6 14 3 9
"9495" "5167" "ENPP1" 208 252 257 300 287 2 12 10 12 4
"9497" "5169" "ENPP3" 30 30 37 35 39 10 8 3 9 1
"9498" "22875" "ENPP4" 40 23 27 36 34 297 322 391 290 241
"9499" "59084" "ENPP5" 9 8 8 4 13 178 182 185 142 125
"9500" "133121" "ENPP6" 0 0 0 0 2 85 96 70 72 45
"9501" "339221" "ENPP7" 2 2 2 2 2 0 0 0 0 0
"9502" "2029" "ENSA" 547 472 559 619 579 911 918 971 711 558
"9503" "319114" "ENSAP2" 78 61 71 114 72 92 95 91 97 64
"9504" "150350" "ENTHD1" 1 1 0 2 0 0 0 1 0 0
"9506" "954" "ENTPD2" 34 26 36 33 32 54 49 51 54 31
"9507" "956" "ENTPD3" 1 1 1 1 2 92 80 105 76 47
"9509" "957" "ENTPD5" 133 97 153 153 133 73 92 80 70 54
"9510" "955" "ENTPD6" 596 475 552 687 523 971 1012 1056 824 585
"9512" "377841" "ENTPD8" 11 4 8 6 11 0 1 1 0 0
"9513" "56943" "ENY2" 227 175 217 239 227 140 139 155 119 96
"9514" "8320" "EOMES" 2 1 4 0 1 77 68 95 62 42
"9515" "2033" "EP300" 485 427 464 557 432 564 587 622 467 394
"9516" "57634" "EP400" 435 372 418 483 352 358 357 343 281 178
"9517" "347918" "EP400NL" 128 94 133 155 126 93 84 94 63 51
"9518" "2034" "EPAS1" 607 509 625 700 577 1022 1070 1087 806 607
"9519" "2035" "EPB41" 447 442 548 626 550 409 420 453 356 292
"9520" "2036" "EPB41L1" 303 248 273 337 266 2207 2195 2304 1743 1397
"9521" "2037" "EPB41L2" 382 363 452 455 464 671 619 666 523 474
"9522" "23136" "EPB41L3" 169 172 200 231 189 1665 1627 1843 1269 1057
"9523" "64097" "EPB41L4A" 14 4 6 10 6 44 18 28 27 16
"9524" "54566" "EPB41L4B" 97 68 97 123 94 249 244 270 204 182
"9525" "57669" "EPB41L5" 163 148 182 206 182 145 170 206 156 128
"9526" "2038" "EPB42" 2 2 4 5 1 13 6 11 5 8
"9527" "2039" "EPB49" 116 82 106 131 84 1170 1153 1177 925 682
"9528" "80314" "EPC1" 105 84 112 132 116 166 159 189 129 112
"9529" "26122" "EPC2" 118 114 142 146 155 214 228 258 184 166
"9530" "4072" "EPCAM" 240 186 255 280 232 19 9 14 8 7
"9531" "171421" "EPF8" 0 0 0 0 0 0 0 0 0 0
"9532" "255324" "EPGN" 2 1 3 2 4 0 0 0 0 0
"9533" "2041" "EPHA1" 49 45 53 57 45 12 9 13 12 5
"9534" "284656" "EPHA10" 5 7 10 9 7 113 101 112 73 79
"9535" "1969" "EPHA2" 251 201 233 311 229 35 34 35 17 18
"9536" "2042" "EPHA3" 77 55 98 92 87 33 35 30 33 25
"9537" "2043" "EPHA4" 73 65 76 84 90 542 595 603 487 407
"9538" "2044" "EPHA5" 8 14 11 23 21 152 157 172 100 118
"9539" "285220" "EPHA6" 3 2 3 2 4 28 34 36 32 26
"9540" "2045" "EPHA7" 12 6 15 13 12 132 145 134 112 95
"9541" "2046" "EPHA8" 8 4 1 9 3 17 24 16 8 9
"9542" "2047" "EPHB1" 2 2 0 1 2 193 221 183 167 148
"9543" "2048" "EPHB2" 69 59 59 70 46 51 61 71 34 45
"9544" "2049" "EPHB3" 58 36 38 56 40 112 107 118 75 46
"9545" "2050" "EPHB4" 531 418 520 552 433 39 46 42 32 24
"9546" "2051" "EPHB6" 463 381 463 528 420 1007 922 972 717 520
"9547" "2053" "EPHX2" 83 78 90 91 74 67 66 82 49 44
"9548" "79852" "EPHX3" 1 1 0 1 5 0 2 0 1 1
"9549" "253152" "EPHX4" 3 3 5 2 10 39 36 59 32 38
"9550" "7957" "EPM2A" 49 30 41 48 49 83 93 102 65 58
"9551" "9852" "EPM2AIP1" 261 229 295 320 274 533 563 635 501 454
"9552" "29924" "EPN1" 847 697 771 918 628 1247 1095 1151 848 595
"9553" "22905" "EPN2" 173 130 176 233 191 678 609 655 470 391
"9554" "55040" "EPN3" 23 28 28 26 24 56 33 61 35 21
"9555" "2056" "EPO" 12 11 16 17 14 0 0 0 1 0
"9556" "83481" "EPPK1" 82 68 71 113 62 19 15 17 17 13
"9557" "2058" "EPRS" 923 773 1033 1219 1138 508 489 584 447 374
"9558" "2060" "EPS15" 316 224 319 370 337 1001 952 1139 895 807
"9559" "58513" "EPS15L1" 243 175 241 232 216 370 340 344 278 196
"9561" "2059" "EPS8" 222 183 251 275 257 151 136 149 105 91
"9562" "54869" "EPS8L1" 79 63 67 60 80 2 0 4 1 0
"9563" "79574" "EPS8L3" 54 46 67 71 39 0 0 0 0 0
"9564" "94240" "EPSTI1" 21 25 27 29 42 7 9 13 11 5
"9565" "85465" "EPT1" 315 298 400 429 392 448 478 500 453 379
"9566" "8288" "EPX" 1 4 2 0 1 13 11 17 7 13
"9567" "1833" "EPYC" 0 0 0 0 0 0 0 0 0 0
"9568" "26284" "ERAL1" 265 214 307 343 281 199 221 230 181 134
"9569" "51752" "ERAP1" 146 126 146 202 156 62 73 73 55 43
"9570" "64167" "ERAP2" 224 247 292 296 280 23 25 22 20 19
"9571" "3266" "ERAS" 0 0 2 0 0 1 3 4 4 2
"9572" "2064" "ERBB2" 402 336 345 443 367 98 100 112 76 58
"9573" "55914" "ERBB2IP" 429 420 518 630 527 563 553 634 509 463
"9575" "2066" "ERBB4" 11 7 10 11 10 335 317 386 278 234
"9576" "23085" "ERC1" 236 209 276 339 291 451 484 458 341 317
"9577" "26059" "ERC2" 7 6 8 6 2 204 198 206 145 153
"9578" "ERCC-00002" "ERCC-00002" 11831 9204 11043 12530 13696 36901 35007 33355 25431 29652
"9579" "ERCC-00003" "ERCC-00003" 657 605 739 875 1035 2134 2185 2542 1966 2230
"9580" "ERCC-00004" "ERCC-00004" 2372 2137 2567 3048 3267 1022 1015 1062 876 956
"9581" "ERCC-00009" "ERCC-00009" 504 421 471 578 643 851 779 811 594 670
"9582" "ERCC-00012" "ERCC-00012" 0 0 0 0 0 0 0 0 0 0
"9583" "ERCC-00013" "ERCC-00013" 1 1 4 1 1 7 1 8 4 1
"9584" "ERCC-00014" "ERCC-00014" 0 1 0 1 1 2 1 1 1 3
"9585" "ERCC-00016" "ERCC-00016" 0 0 0 0 0 0 0 0 0 0
"9586" "ERCC-00017" "ERCC-00017" 0 0 0 0 0 0 0 0 0 0
"9587" "ERCC-00019" "ERCC-00019" 18 12 21 17 23 8 6 5 8 4
"9588" "ERCC-00022" "ERCC-00022" 120 100 107 110 137 326 353 328 255 320
"9589" "ERCC-00024" "ERCC-00024" 0 0 0 0 0 0 0 0 0 0
"9590" "ERCC-00025" "ERCC-00025" 25 28 31 32 36 40 53 52 27 46
"9591" "ERCC-00028" "ERCC-00028" 1 3 3 2 0 0 2 0 2 0
"9592" "ERCC-00031" "ERCC-00031" 1 1 1 3 1 2 3 2 0 3
"9593" "ERCC-00033" "ERCC-00033" 0 0 1 2 1 0 1 0 0 1
"9594" "ERCC-00034" "ERCC-00034" 16 14 8 10 14 20 14 16 14 10
"9595" "ERCC-00035" "ERCC-00035" 56 51 59 64 68 91 86 84 66 64
"9596" "ERCC-00039" "ERCC-00039" 1 0 4 1 5 8 5 5 4 8
"9597" "ERCC-00040" "ERCC-00040" 1 1 0 1 0 0 1 0 0 1
"9598" "ERCC-00041" "ERCC-00041" 0 1 0 0 1 0 0 0 0 0
"9599" "ERCC-00042" "ERCC-00042" 339 296 329 442 486 560 595 578 453 488
"9600" "ERCC-00043" "ERCC-00043" 399 281 395 439 526 1198 1217 1282 940 1077
"9601" "ERCC-00044" "ERCC-00044" 28 18 24 18 15 44 46 39 32 36
"9602" "ERCC-00046" "ERCC-00046" 1739 1569 1945 2127 2560 5807 5689 6076 4851 5547
"9603" "ERCC-00048" "ERCC-00048" 0 0 0 0 0 0 0 0 0 0
"9604" "ERCC-00051" "ERCC-00051" 10 11 4 12 12 10 12 15 16 9
"9605" "ERCC-00053" "ERCC-00053" 17 4 18 14 33 18 18 24 21 23
"9606" "ERCC-00054" "ERCC-00054" 1 0 1 2 10 15 12 6 5 6
"9607" "ERCC-00057" "ERCC-00057" 0 0 0 0 0 0 0 0 0 0
"9608" "ERCC-00058" "ERCC-00058" 0 2 0 0 2 5 1 4 0 3
